run_id,timestamp_min,vehicle_id,event_type,details
run_2026-02-11_00-26-18,10.0,2,SERVICE_START,"{""node"": 1, ""service_min"": 6.6191638241658115}"
run_2026-02-11_00-26-18,15.0,0,SERVICE_START,"{""node"": 6, ""service_min"": 6.116194823035073}"
run_2026-02-11_00-26-18,20.0,1,SERVICE_START,"{""node"": 10, ""service_min"": 9.080631795600157}"
run_2026-02-11_00-26-18,35.0,2,DELAY_EVENT,"{""delay_added_min"": 10}"
run_2026-02-11_00-26-18,45.0,0,ROUTE_COMPLETE,"{""end_node"": 13}"
run_2026-02-11_00-26-18,45.0,2,REROUTE_APPLIED,"{""reason"": ""CUMULATIVE_ABUSE"", ""batch_id"": 11, ""option_selected"": ""skip_customer"", ""option_name"": ""Skip customer 1 (priority 1)"", ""customers_lost"": 1, ""expected_quality_gain"": 0.15, ""score"": 3050.0, ""new_route"": [3, 12, 5, 7, 13], ""alternatives_considered"": 2, ""current_node"": 1}"
run_2026-02-11_00-26-18,55.0,1,REROUTE_APPLIED,"{""reason"": ""TEMP_EXCURSION"", ""batch_id"": 7, ""option_selected"": ""skip_customer"", ""option_name"": ""Skip customer 10 (priority 2)"", ""customers_lost"": 1, ""expected_quality_gain"": 0.15, ""score"": 1025.0, ""new_route"": [4, 11, 9, 2, 8, 13], ""alternatives_considered"": 2, ""current_node"": 10}"
run_2026-02-11_00-26-18,65.0,2,DELAY_EVENT,"{""delay_added_min"": 10}"
run_2026-02-11_00-26-18,85.0,2,SERVICE_START,"{""node"": 3, ""service_min"": 5.289994623873534}"
run_2026-02-11_00-26-18,95.0,1,SERVICE_START,"{""node"": 4, ""service_min"": 7.168228418311929}"
run_2026-02-11_00-26-18,120.0,2,SERVICE_REFUSED,"{""node"": 12, ""quality"": 0.14}"
run_2026-02-11_00-26-18,125.0,1,SERVICE_START,"{""node"": 11, ""service_min"": 8.19456734463092}"
run_2026-02-11_00-26-18,145.0,2,SERVICE_START,"{""node"": 5, ""service_min"": 7.12259594571257}"
run_2026-02-11_00-26-18,160.0,1,SERVICE_START,"{""node"": 9, ""service_min"": 5.721275416787187}"
run_2026-02-11_00-26-18,180.0,1,SERVICE_START,"{""node"": 2, ""service_min"": 5.362181433337714}"
run_2026-02-11_00-26-18,200.0,2,SERVICE_REFUSED,"{""node"": 7, ""quality"": 0.557}"
run_2026-02-11_00-26-18,215.0,1,SERVICE_REFUSED,"{""node"": 8, ""quality"": 0.0}"
run_2026-02-11_00-26-18,235.0,2,ROUTE_COMPLETE,"{""end_node"": 13}"
run_2026-02-11_00-26-18,260.0,1,ROUTE_COMPLETE,"{""end_node"": 13}"
