run_id,vehicle_id,timestamp_min,current_node,next_node,route_index,delayed_min,reroute_triggered
run_2026-02-11_00-26-18,0,0.0,0,6,0,0.0,False
run_2026-02-11_00-26-18,1,0.0,0,10,0,0.0,False
run_2026-02-11_00-26-18,2,0.0,0,1,0,0.0,False
run_2026-02-11_00-26-18,0,5.0,0,6,0,0.0,False
run_2026-02-11_00-26-18,1,5.0,0,10,0,0.0,False
run_2026-02-11_00-26-18,2,5.0,0,1,0,0.0,False
run_2026-02-11_00-26-18,0,10.0,0,6,0,0.0,False
run_2026-02-11_00-26-18,1,10.0,0,10,0,0.0,False
run_2026-02-11_00-26-18,2,10.0,1,3,0,6.6,False
run_2026-02-11_00-26-18,0,15.0,6,13,0,6.1,False
run_2026-02-11_00-26-18,1,15.0,0,10,0,0.0,False
run_2026-02-11_00-26-18,2,15.0,1,3,0,1.6,False
run_2026-02-11_00-26-18,0,20.0,6,13,0,1.1,False
run_2026-02-11_00-26-18,1,20.0,10,4,0,9.1,False
run_2026-02-11_00-26-18,2,20.0,1,3,0,0.0,False
run_2026-02-11_00-26-18,0,25.0,6,13,0,0.0,False
run_2026-02-11_00-26-18,1,25.0,10,4,0,4.1,False
run_2026-02-11_00-26-18,2,25.0,1,3,0,0.0,False
run_2026-02-11_00-26-18,0,30.0,6,13,0,0.0,False
run_2026-02-11_00-26-18,1,30.0,10,4,0,0.0,False
run_2026-02-11_00-26-18,2,30.0,1,3,0,0.0,False
run_2026-02-11_00-26-18,0,35.0,6,13,0,0.0,False
run_2026-02-11_00-26-18,1,35.0,10,4,0,0.0,False
run_2026-02-11_00-26-18,2,35.0,1,3,0,5.0,False
run_2026-02-11_00-26-18,0,40.0,6,13,0,0.0,False
run_2026-02-11_00-26-18,1,40.0,10,4,0,0.0,False
run_2026-02-11_00-26-18,2,40.0,1,3,0,0.0,False
run_2026-02-11_00-26-18,0,45.0,13,,0,0.0,False
run_2026-02-11_00-26-18,1,45.0,10,4,0,0.0,False
run_2026-02-11_00-26-18,2,45.0,1,3,0,0.0,True
run_2026-02-11_00-26-18,1,50.0,10,4,0,0.0,False
run_2026-02-11_00-26-18,2,50.0,1,3,0,0.0,True
run_2026-02-11_00-26-18,1,55.0,10,4,0,0.0,True
run_2026-02-11_00-26-18,2,55.0,1,3,0,0.0,True
run_2026-02-11_00-26-18,1,60.0,10,4,0,0.0,True
run_2026-02-11_00-26-18,2,60.0,1,3,0,0.0,True
run_2026-02-11_00-26-18,1,65.0,10,4,0,0.0,True
run_2026-02-11_00-26-18,2,65.0,1,3,0,5.0,True
run_2026-02-11_00-26-18,1,70.0,10,4,0,0.0,True
run_2026-02-11_00-26-18,2,70.0,1,3,0,0.0,True
run_2026-02-11_00-26-18,1,75.0,10,4,0,0.0,True
run_2026-02-11_00-26-18,2,75.0,1,3,0,0.0,True
run_2026-02-11_00-26-18,1,80.0,10,4,0,0.0,True
run_2026-02-11_00-26-18,2,80.0,1,3,0,0.0,True
run_2026-02-11_00-26-18,1,85.0,10,4,0,0.0,True
run_2026-02-11_00-26-18,2,85.0,3,12,0,5.3,True
run_2026-02-11_00-26-18,1,90.0,10,4,0,0.0,True
run_2026-02-11_00-26-18,2,90.0,3,12,0,0.3,True
run_2026-02-11_00-26-18,1,95.0,4,11,0,7.2,True
run_2026-02-11_00-26-18,2,95.0,3,12,0,0.0,True
run_2026-02-11_00-26-18,1,100.0,4,11,0,2.2,True
run_2026-02-11_00-26-18,2,100.0,3,12,0,0.0,True
run_2026-02-11_00-26-18,1,105.0,4,11,0,0.0,True
run_2026-02-11_00-26-18,2,105.0,3,12,0,0.0,True
run_2026-02-11_00-26-18,1,110.0,4,11,0,0.0,True
run_2026-02-11_00-26-18,2,110.0,3,12,0,0.0,True
run_2026-02-11_00-26-18,1,115.0,4,11,0,0.0,True
run_2026-02-11_00-26-18,2,115.0,3,12,0,0.0,True
run_2026-02-11_00-26-18,1,120.0,4,11,0,0.0,True
run_2026-02-11_00-26-18,1,125.0,11,9,0,8.2,True
run_2026-02-11_00-26-18,2,125.0,12,5,0,0.0,True
run_2026-02-11_00-26-18,1,130.0,11,9,0,3.2,True
run_2026-02-11_00-26-18,2,130.0,12,5,0,0.0,True
run_2026-02-11_00-26-18,1,135.0,11,9,0,0.0,True
